"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","...4","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"1","EDCS-16000005","Arabia","|Anz",NA,NA,"tituli sepulcrales",NA,NA,NA,"Ael(ius) Satorni/los(!) imm(unis) a(rcerarius?) / leg(ionis) III ye(nai)(ae)","Aelius Satornilos immunis arcerarius legionis III yenaiae",NA,26.3886111,43.4147222,NA
"2","EDCS-03300877","Arabia","?",112,112,"miliaria","tituli operum","tituli sacri",NA,"Imp(erator) Caesar / divi Nervae f(ilius) Nerva / Traianus [Aug(ustus) Germ(anicus)] / Dacicus [pont(ifex) max(imus)] / trib(unicia) po[t(estate) XVI imp(erator) VI] / co(n)s(ul) VI [p(ater) p(atriae) redacta in] / form[am provinciae] / Ar[abia viam novam] / a [finibus Syriae] / usq[ue] a[d mare Rubrum] / aper[uit et stravit per C(aium)] / C[laudium Severum]","Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVI imperator VI consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare Rubrum aperuit et stravit per Caium Claudium Severum",NA,NA,NA,"lapis"
"3","EDCS-66400037","Arabia","?",401,600,"inscriptiones christianae","tituli honorarii",NA,NA,NA,NA,"GR",NA,NA,"lapis"
"4","EDCS-68300001","Arabia","?",301,500,"tituli sepulcrales",NA,NA,NA,"D(is) M(anibus) s(acrum) / Iulio Ur/bano ex / centuri/one de n/umero","Dis Manibus sacrum Iulio Urbano ex centurione de numero",NA,NA,NA,NA
"5","EDCS-73600305","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,NA,"?","",NA,NA,NA,"lapis"
"6","EDCS-73600306","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,NA,"?","",NA,NA,NA,"lapis"
"7","EDCS-73600307","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,NA,"?","",NA,NA,NA,"lapis"
"8","EDCS-31800331","Arabia","Ajloun",NA,NA,"miliaria",NA,NA,NA,"] I /","I","GR",32.3323294,35.7520522,"lapis"
"9","EDCS-30100051","Arabia","Ajloun",162,162,"miliaria","tituli sacri",NA,NA,"XII / Imp(erator) Caesar / M(arcus) Aurelius Antoninus / Aug(ustus) p(ontifex) m(aximus) trib(unicia) pot(estate) XVI / co(n)s(ul) III et / Imp(erator) Caesar L(ucius) Au[r]elius / Verus Aug(ustus) t[rib(unicia) pot(estate) II c]o(n)s(ul) II / divi Anton[ini Pii filii divi] / Hadriani nepotes divi / [T]raiani Parthici / pronepotes divi N[e]rvae / [a]bnepotes refecer[unt] / per Geminium Marci[anum] / leg(atum) pr(o) pr(aetore) //","XII Imperator Caesar Marcus Aurelius Antoninus Augustus pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini Pii filii divi Hadriani nepotes divi Traiani Parthici pronepotes divi Nervae abnepotes refecerunt per Geminium Marcianum legatum pro praetore","GR",32.3323294,35.7520522,"lapis"
"10","EDCS-31300128","Arabia","Al-Mushannaf / Muschennef / Nela",NA,NA,NA,NA,NA,NA,NA,NA,"GR",32.7425363,36.7761276,NA
"11","EDCS-49000051","Arabia","Al-Mushannaf / Muschennef / Nela",NA,NA,NA,NA,NA,NA,NA,NA,"GR",32.7425363,36.7761276,NA
"12","EDCS-03000823","Arabia","Al-Qihati / El-Qihati",293,305,"tituli honorarii",NA,NA,NA,"DD(ominis) nn(ostris) / Imp(eratoribus) Caes(aribus) / C(aio) Aur(elio) [V]al(erio) / Diocletiano P(io) F(elici) / [Invi]cto Aug(usto) et / M(arco) Aur(elio) Val(erio) / [Maxim]iano P(io) F(elici) / Invicto Aug(usto) / et Fl(avio) Val(e)rio / Constantio et / [Gal(erio)] Va[lerio] / Maximiano / [n]obb(ilissimis) Caess(aribus)","DDominis nnostris Imperatoribus Caesaribus Caio Aurelio Valerio Diocletiano Pio Felici Invicto Augusto et Marco Aurelio Valerio Maximiano Pio Felici Invicto Augusto et Flavio Valerio Constantio et Galerio Valerio Maximiano nobbilissimis Caessaribus",NA,32.183333,36.316667,NA
"13","EDCS-03000824","Arabia","Al-Qihati / El-Qihati",NA,NA,"tituli honorarii",NA,NA,NA,"] / Pio [Fel(ici) Invict(o) Aug(usto) et F]/l(avio) Val(erio) Severo n[ob(ilissimo) Caes(ari)] / e(t) Fla(vio) Val(erio) [C]on[stantino] / nob(ilissimo) [C]aes(ari)","Pio Felici Invicto Augusto et Flavio Valerio Severo nobilissimo Caesari et Flavio Valerio Constantino nobilissimo Caesari",NA,32.183333,36.316667,NA
"14","EDCS-03000825","Arabia","Al-Qihati / El-Qihati",NA,NA,"tituli honorarii",NA,NA,NA,"] C(aio) Val(erio) Maxi/mino nob(ilissimis) Caess(aribus)","Caio Valerio Maximino nobilissimis Caessaribus",NA,32.183333,36.316667,NA
"15","EDCS-48001031","Arabia","Al-Qihati / El-Qihati",NA,NA,"miliaria",NA,NA,NA,"?","",NA,32.183333,36.316667,"lapis"
"16","EDCS-48001030","Arabia","Al-Qihati / El-Qihati",NA,NA,"miliaria",NA,NA,NA,"?","",NA,32.183333,36.316667,"lapis"
"17","EDCS-03000826","Arabia","Al-Qihati / El-Qihati",305,306,"tituli honorarii",NA,NA,NA,"Felici C(aio) Aur(elio) Val(erio) / Diocletiano pat/ri Immpp(eratorum) et M(arco) Aur(elio) / Val(erio) Maximiano / patri Immpp(eratorum) et F/l(avio) Aur(elio) Val(erio) Constan/tio P(iis) F(elicibus) Invict(is) A[u]gg(ustis) e/t Gal(erio) Val(erio) Maximian/[o] P(io) F(elici) [Invict(o) Au]g(usto) e/t [","Felici Caio Aurelio Valerio Diocletiano patri Immpperatorum et Marco Aurelio Valerio Maximiano patri Immpperatorum et Flavio Aurelio Valerio Constantio Piis Felicibus Invictis Auggustis et Galerio Valerio Maximiano Pio Felici Invicto Augusto et",NA,32.183333,36.316667,NA
"18","EDCS-03000827","Arabia","Al-Qihati / El-Qihati",305,306,"tituli honorarii",NA,NA,NA,"]o / Felici G(aio!) Aur(elio) Val(erio) / Di[o]cletiano pat/ri Immpp(eratorum) et M(arco) Aur(elio) / Val(erio) Maximiano pa/tri Immpp(eratorum) et Fl(avio) A/ur(elio) Val(erio) Constantio / P(iis) F(elicibus) Invict(is) Augg(ustis) et G(aio!) / [A]u[r(elio)] Val(erio) Maximiano / [Au]g{g}(usto) e[t","o Felici Gaio Aurelio Valerio Diocletiano patri Immpperatorum et Marco Aurelio Valerio Maximiano patri Immpperatorum et Flavio Aurelio Valerio Constantio Piis Felicibus Invictis Auggustis et Gaio Aurelio Valerio Maximiano Augusto et",NA,32.183333,36.316667,NA
"19","EDCS-49000050","Arabia","Al-Ula",NA,NA,NA,NA,NA,NA,"Bene sit / Titus","Bene sit Titus",NA,26.6082971,37.922708,NA
"20","EDCS-16400397","Arabia","Al-Zarqa / El-Zarqa",NA,NA,"tituli operum",NA,NA,NA,"[3 I]mp(eratores) Augg(usti) tutelae gratia ex Palaest[ina] / [in Arabia]m tra[nstu]lerunt [c]astra quoque (e)x solo oppo[rtuno] / [loco] exstruxerunt per Aurel[ium Theone]m leg(atum) Aug(ustorum) [pr(o) pr(aetore)]","Imperatores Auggusti tutelae gratia ex Palaestina in Arabiam transtulerunt castra quo que ex solo opportuno loco exstruxerunt per Aurelium Theonem legatum Augustorum pro praetore",NA,32.0668425,36.0885771,NA
"21","EDCS-77400147","Arabia","Amman / Philadelphia",193,194,"miliaria",NA,NA,NA,"[Imp(erator) Cae]sar / [L(ucius) Septimius S]everus / Pertin[ax] Aug(ustus) / trib(unicia) potest(ate) II / imp(erator) IV co(n)s(ul) II / per Ael(ium) Severian(um) / Maximum fec(it) / X","Imperator Caesar Lucius Septimius Severus Pertinax Augustus tribunicia potestate II imperator IV consul II per Aelium Severianum Maximum fecit X",NA,31.9515694,35.9239625,"lapis"
"22","EDCS-31700020","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"[Imp(erator) Caes(ar) M(arcus) Aurelius] / [Seve]rus Antoninus / Felix Aug(ustus) Parthicus / max(imus) Britan(n)icus / maximus trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) III desig(natus) co(n)s(ul) / per Furium Severianu[m] / leg(atum) Aug(usti) pr(o) pr(aetore) co(n)s(ulem) desig(natum)","Imperator Caesar Marcus Aurelius Severus Antoninus Felix Augustus Parthicus maximus Britannicus maximus tribunicia potestate XVI imperator II consul III designatus consul per Furium Severianum legatum Augusti pro praetore consulem designatum",NA,31.9515694,35.9239625,"lapis"
"23","EDCS-77400148","Arabia","Amman / Philadelphia",NA,NA,"tituli honorarii",NA,NA,NA,NA,NA,"GR",31.9515694,35.9239625,"lapis"
"24","EDCS-16900081","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) Marcu[s] / Aurelius Sev[erus] / Antoninus [Pius] / Felix Aug(ustus) Pa[rthi]/cus maximu[s Bri]/tan(n)icus max[imus] / [po]nt(ifex) max[imus] / [trib(unicia) pot(estate)] XVII [imp(erator)] II [co(n)s(ul)] IIII [p(ater) p(atriae)] / per Furnium Iulianum / [leg(atum) Aug(usti) pr(o) pr(aetore)] / [","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVII imperator II consul IIII pater patriae per Furnium Iulianum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"25","EDCS-16900083","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"Imp(erator) C[aes(ar)] / M(arcus) Aurelius [Antoninus] / P(ius) F(elix) Aug(ustus) [pont(ifex)] / maximus trib(unicia) [p(otestate)] / co(n)s(ul) III [p(ater) p(atriae) proco(n)s(ul)] / [per Flavium Iulianum] / [leg(atum) Aug(usti) pr(o) pr(aetore)] / [","Imperator Caesar Marcus Aurelius Antoninus Pius Felix Augustus pontifex maximus tribunicia potestate consul III pater patriae proconsul per Flavium Iulianum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"26","EDCS-77400282","Arabia","Amman / Philadelphia",NA,NA,NA,NA,NA,NA,NA,NA,"GR",31.9515694,35.9239625,"lapis"
"27","EDCS-16800270","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) Marc(us) / Aurelius Se[verus A]ntoninus / Pius Felix [Aug(ustus) Par]thicus / Britannicus max(imus) pontifex / max(imus) trib(unicia) [pot(estate) 3 i]mp(erator) II / co(n)s(ul) III p(ater) [p(atriae)] / per Furium [Severianum leg(atum)] / [Aug(usti) pr(o) pr(aetore)","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus Britannicus maximus pontifex maximus tribunicia potestate imperator II consul III pater patriae per Furium Severianum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"28","EDCS-78300803","Arabia","Amman / Philadelphia",NA,NA,"tituli sacri",NA,NA,NA,NA,NA,"GR",31.9515694,35.9239625,"lapis"
"29","EDCS-72700142","Arabia","Amman / Philadelphia",66,250,NA,NA,NA,NA,"] / [Iulius Ma]gnus(?) / [3 leg(ionis) X F]r(etensis) fecit //","Iulius Magnus legionis X Fretensis fecit","GR",31.9515694,35.9239625,NA
"30","EDCS-29900169","Arabia","Amman / Philadelphia",NA,NA,"tituli sacri",NA,NA,NA,"I(ovi) O(ptimo) M(aximo) / Conserva/tori L(ucius) Aemi/lius Carus leg(atus) / Aug(usti) pr(o) pr(aetore)","Iovi Optimo Maximo Conservatori Lucius Aemilius Carus legatus Augusti pro praetore",NA,31.9515694,35.9239625,NA
"31","EDCS-31400571","Arabia","Amman / Philadelphia",NA,193,"miliaria",NA,NA,NA,"to 193;   b:  305 to 306         

 
 
[Imp(erator) Caesar] / [P(ublius) Helvius Pertinax] / [Aug(ustus) prince]ps senat[us] / [consul iterum] / [p]o[nt(ifex)] m[aximus] / [t]r[ibunicia potestate] / et Caesar [P(ublius) Helv]ius Per/tinax f[i]lius [pr]inceps / iuven[tutis] per P(ublium) Ael(ium) / Severia[num] Max/[i]mum [leg(atum) Aug(usti)] pr(o) pr(aetore) // [DD(ominis) nn(ostris)] / [C(aio) Aur(elio) Val(erio) Diocletiano et] / M(arco) Aur(elio) [Val(erio) Maximiano] / patri[b(us) A]ug[g(ustorum) et Impp(eratoribus)] / [C]aess(aribus) [Fl(avio) Val(erio) Constantio] / et Gal(erio) Val(erio) Maximiano / PP(iis) FF(elicibus) Invictis Augg(ustis) et / Fl(avio) Val(erio) Severo et / Maximino nobb(ilissimis) Caess(aribus)","Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul iterum pontifex maximus tribunicia potestate et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetore DDominis nnostris Caio Aurelio Valerio Diocletiano et Marco Aurelio Valerio Maximiano patribus Auggustorum et Impperatoribus Caessaribus Flavio Valerio Constantio et Galerio Valerio Maximiano PPiis FFelicibus Invictis Auggustis et Flavio Valerio Severo et Maximino nobbilissimis Caessaribus",NA,31.9515694,35.9239625,"lapis"
"32","EDCS-31400572","Arabia","Amman / Philadelphia",214,214,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) Marcu[s] / Aurelius Sev[erus] / Antoninus [Pius] / Felix Aug(ustus) Pa[rthi]/cus maximus [Bri]/tan(n)icus max[imus] / [p]ont(ifex) max[imus] / [","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus",NA,31.9515694,35.9239625,"lapis"
"33","EDCS-31400574","Arabia","Amman / Philadelphia",181,181,"miliaria","tituli sacri",NA,NA,"Imp(erator) Caesar / [M(arcus)] Aurelius [Commodus] / [An]toninus Aug(ustus) Germanic[us] / [Sarm]aticus divi [Anto]nini f(ilius) / [ponti]fex max(imus) trib(unicia) pote[st(ate) VI] / co(n)s(ul) III p(ater) p(atriae) per / [Fl(avium) Iu]lium Fronton[em] / [leg(atum)] Aug(usti) pr(o) pr(aetore) // GR","Imperator Caesar Marcus Aurelius Commodus Antoninus Augustus Germanicus Sarmaticus divi Antonini filius pontifex maximus tribunicia potestate VI consul III pater patriae per Flavium Iulium Frontonem legatum Augusti pro praetore GR",NA,31.9515694,35.9239625,"lapis"
"34","EDCS-31400575","Arabia","Amman / Philadelphia",162,162,"miliaria","tituli sacri",NA,NA,"[Imp(erator)] C[aesar] / M(arcus) Aurelius [Antoninus] / Augustus [pontifex] / maximus trib(unicia) [pot(estate) XVI] / co(n)s(ul) III et [Imp(erator)] / Caesar L(ucius) Aureli[us] / [V]erus Augustus tr[ib(unicia)] / [p]otest(ate) II co(n)s(ul) II divi / Antonini fili(i) divi / Hadriani nepotes / [","Imperator Caesar Marcus Aurelius Antoninus Augustus pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini filii divi Hadriani nepotes",NA,31.9515694,35.9239625,"lapis"
"35","EDCS-31400576","Arabia","Amman / Philadelphia",114,114,"miliaria","tituli operum","tituli sacri",NA,"Imp(erator) C[a]esar / divi Nerv[ae f(ilius) Nerva] / Tr[aianus Optimus Aug(ustus)] / Ger[manicus Dacicus] / [po]n[t(ifex) max(imus) trib(unicia)] / [p]ot(estate) XV[III imp(erator) VII co(n)s(ul) VI] / [p(ater)] p(atriae) r[e]dac[ta in formam] / provi[nciae Arabia viam] / [novam a finibus Syriae] / [usque ad mare rubrum] / ap[eruit et stravit per] / C(aium) Cl[audium Severum] / [leg(atum) Aug(usti) pr(o) pr(aetore)]","Imperator Caesar divi Nervae filius Nerva Traianus Optimus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVIII imperator VII consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"36","EDCS-29900180","Arabia","Amman / Philadelphia",114,114,"miliaria",NA,NA,NA,"Im[p(erator) Caes(ar)] / [3]ai[3] / Traian[us 3] / Piu[s Felix Aug(ustus) pont(ifex)] / maxim[us","Imperator Caesar ai Traianus Pius Felix Augustus pontifex maximus",NA,31.9515694,35.9239625,"lapis"
"37","EDCS-30000323","Arabia","Amman / Philadelphia",306,307,"miliaria",NA,NA,NA,"] / Valerio [3] / nobil[is(simo) Caes(ari) 3] / Val(erius) Constantin(us) [3] / m(ilia) p(assuum) / III //","Valerio nobilissimo Caesari Valerius Constantinus milia passuum III","GR",31.9515694,35.9239625,"lapis"
"38","EDCS-31800311","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"[Imp(erator) Caes(ar) M(arcus) [","Imperator Caesar Marcus",NA,31.9515694,35.9239625,"lapis"
"39","EDCS-30000324","Arabia","Amman / Philadelphia",129,129,"miliaria","tituli sacri",NA,NA,"[Imp(erator)] / Ca[es(ar) divi Traiani] / Par[thici filiu]s / divi [Nervae nep]os / Traian[us Hadrian]us [Aug(ustus)] / po[nt(ifex) max(imus)","Imperator Caesar divi Traiani Parthici filius divi Nervae nepos Traianus Hadrianus Augustus pontifex maximus",NA,31.9515694,35.9239625,"lapis"
"40","EDCS-31800312","Arabia","Amman / Philadelphia",193,193,"miliaria",NA,NA,NA,"Imp(erator) Caesar P(ublius) H/elvius Pertinax / Aug(ustus) princeps se/natus co(n)s(ul) II pont/iex maximus t(r)i{v}/buniciae potestatis / et Caesar P(ublius) Hel(vius) Per/tinax filius pri[nceps] / [iuven]tutis p[er P(ublium) Aelium] / [Severianum Maximum] / [leg(atum) Aug(usti) pr(o) pr(aetore)]","Imperator Caesar Publius Helvius Pertinax Augustus princeps senatus consul II pontiex maximus tribuniciae potestatis et Caesar Publius Helvius Pertinax filius princeps iuventutis per Publium Aelium Severianum Maximum legatum Augusti pro praetore",NA,31.9515694,35.9239625,"lapis"
"41","EDCS-31800313","Arabia","Amman / Philadelphia",194,194,"miliaria",NA,NA,NA,"Imp(erator) C[aes(ar) L(ucius)] / Septimius S[everus] / Pertinax [Aug(ustus) p(ater) p(atriae)] / trib(unicia) pote[st(ate) II] / imp(erator) IV c[o(n)s(ul) II // per Aelium Severianum M]aximum / VI //","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pater patriae tribunicia potestate II imperator IV consul II per Aelium Severianum Maximum VI","GR",31.9515694,35.9239625,"lapis"
"42","EDCS-31800314","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,NA,"Imp(erator) Caesar M[arc(us)] / Au(elius) Antoninus Pius / Felix Aug(ustus) Parthicus / maximus Brt{t}an(n)icus / maximus pontifex / maximus trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) IIII [pro]co(n)s(ul) / per Furniu[m I]ulianu[m] / leg(atum) Aug(usti) [pr(o) pr(aetore)] co(n)s(ulem) desig(natum)","Imperator Caesar Marcus Auelius Antoninus Pius Felix Augustus Parthicus maximus Brtannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum",NA,31.9515694,35.9239625,"lapis"
"43","EDCS-31800315","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) Marc(us) / Aurelius Se[verus] Antoninus / Pius Felix [Aug(ustus) Par]thicus max(imus) / Britannicus max(imus) pontifex / max(imus) trib(unicia) [pot(estate) XVI] imp(erator) II / co(n)s(ul) III[I proco(n)]s(ul) / per Furnium [Iulianum","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum",NA,31.9515694,35.9239625,"lapis"
