"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"1","EDCS-28501071","Pontus et Bithynia","Ahmet Saray / Ahmetsaray / Amasya / Amaseia",293,305,"miliaria",NA,NA,"Imp(eratori) Caes(ari) / G(aio!) Aur(elio) Val(erio) / Diocletiano / P(io) F(elici) Invic(to) Aug(usto) et / Imp(eratori) Caes(ari) [[[M(arco) Aur(elio)]]] / [[Val(erio) [Maximiano]]] / P(io) F(elici) Invic(to) Aug(usto) / et Fl(avio) Val(erio) / Constantio / et Gal(erio) Val(erio) / Maximiano / nobiliss(imis) Caess(aribus) //","Imperatori Caesari Gaio Aurelio Valerio Diocletiano Pio Felici Invicto Augusto et Imperatori Caesari Marco Aurelio Valerio Maximiano Pio Felici Invicto Augusto et Flavio Valerio Constantio et Galerio Valerio Maximiano nobilissimis Caessaribus","GR","40.990669","35.872612","lapis"
"2","EDCS-70200050","Pontus et Bithynia","Ahmet Saray / Ahmetsaray / Amasya / Amaseia",NA,NA,"miliaria",NA,NA,"?","",NA,"40.990669","35.872612","lapis"
"3","EDCS-41000058","Pontus et Bithynia","Ahmetbeyler",293,367,"miliaria",NA,NA,"B(ona) [F(ortuna)] / [3 Diocletianus // et Maximianus] / P(ius) F(elix) Inv(ictus) Aug(ustus) et / F{e}l(avius) Val(erius) Constantius / et Gal(erius) Val(erius) M[aximianus] / nobb(ilissimi) Caesares //  // [D(omino)] n(ostro) / Fl(avio) Ioviano / victor(i) P(io) F(elici) / semper / Aug(usto) // [DD(ominis) nn(ostris)] / Valentinian et / Valenti [PP(iis) FF(elicibus)] / semper Aug(ustis!)","Bona Fortuna Diocletianus et Maximianus Pius Felix Invictus Augustus et Flavius Valerius Constantius et Galerius Valerius Maximianus nobbilissimi Caesares Domino nostro Flavio Ioviano victori Pio Felici semper Augusto DDominis nnostris Valentinian et Valenti PPiis FFelicibus semper Augustis","GR","40.235195","30.8444382","lapis"
"4","EDCS-08400529","Pontus et Bithynia","Aktas",337,367,"miliaria",NA,NA,"Fl(avio) Iul(io) Constanti]/o P(io) F(elici) vic(tori) semper A[ug(usto)] et / Fl(avio) Iul(io) Constanti P(io) F(elici) / {t}vic(tori) semper Aug(usto) / [ // Valentiniano / et Valenti / PP(iis) FF(elicibus) s(e)mper / Augg(ustis)","Flavio Iulio Constantio Pio Felici victori semper Augusto et Flavio Iulio Constanti Pio Felici victori semper Augusto Valentiniano et Valenti PPiis FFelicibus semper Auggustis",NA,"40.299881","30.273649","lapis"
"5","EDCS-75300310","Pontus et Bithynia","Amasya / Amasiyya / Amaseia",97,97,"miliaria",NA,NA,"Imp(erator) / Nerva Caesar Aug(ustus) / pont(ifex) max(imus) trib(unicia) potest(ate) / co(n)s(ul) III p(ater) p(atriae) restituit per / Pomponium Bassum / leg(atum) pro pr(aetore) / [ p(assuum) m(ilia) XXIIX","Imperator Nerva Caesar Augustus pontifex maximus tribunicia potestate consul III pater patriae restituit per Pomponium Bassum legatum pro praetore passuum milia XXIIX",NA,"40.6503248","35.8329148","lapis"
"6","EDCS-28501072","Pontus et Bithynia","Amasya / Amasiyya / Amaseia",97,97,"miliaria",NA,NA,"Imp(erator) Nerva Caes(ar) Aug(ustus) / pontif(ex) max(imus) trib(unicia) po/test(ate) / co(n)s(ul) II p(ater) p(atriae) resti/tuit per Pomponi/um Bassum leg(atum) / Aug(usti) pro pr(aetore) / [mil(ia)] p(assuum) [3]","Imperator Nerva Caesar Augustus pontifex maximus tribunicia potestate consul II pater patriae restituit per Pomponium Bassum legatum Augusti pro praetore milia passuum",NA,"40.6503248","35.8329148","lapis"
"7","EDCS-05000750","Pontus et Bithynia","Arica / Neoclaudiopolis",140,140,"miliaria","tituli sacri",NA,"[Imp(eratori) Caesar(i)] / [divi Hadria]/[ni] fil(io) di[vi Tra]/iani nepoti [di]/vi Nervae / pronepoti T(ito) / Ael(io) Hadriano / Antonino Aug(usto) / Pio p(atri) p(atriae) p(ontifici) m(aximo) tr(ibunicia) / p(otestate) III co(n)s(uli) III / m(ilia) p(assuum) VIII //","Imperatori Caesari divi Hadriani filio divi Traiani nepoti divi Nervae pronepoti Tito Aelio Hadriano Antonino Augusto Pio patri patriae pontifici maximo tribunicia potestate III consuli III milia passuum VIII","GR","41.1403977","35.3748498","lapis"
"8","EDCS-05000749","Pontus et Bithynia","Arica / Neoclaudiopolis",250,250,"miliaria",NA,NA,"Impera[tori] / Csari G[aio] / Messio uin/to Traiano / Decio io / Felici Invicto / Aug(usto) pontifici (!) / (!) Valerium Ne/potianum leg(atum) / pr(o) pr(aetore) pass(uum) / mil(ia) / [","Imperatori Csari Gaio Messio uinto Traiano Decio io Felici Invicto Augusto pontifici Valerium Nepotianum legatum pro praetore passuum milia",NA,"41.1403977","35.3748498","lapis"
"9","EDCS-16800271","Pontus et Bithynia","Asagi Ihsaniye / Filyos / Hisaronu / Tios",NA,NA,"miliaria",NA,NA,"Imp(erator) Caesar / Vespasianus / Aug(ustus) p(ontifex) m(aximus) trib(unicia) p(otestate) [IX] / [i]mp(erator) XIIX / co(n)s(ul) IIX desig(natus) IX [et] / T(itus) Imp(erator) Caesar Aug(ustus) / trib(unicia) p(otestate) V[II] / co(n)s(ul) V[I desig(natus) VII et] / Domitianus Cae/sar Aug(usti) f(ilius) co(n)s(ul) V / desig(natus) VI r[efecerunt(?)] / per L(ucium) Ant[onium] / [N]asonem proc(uratorem) / [","Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate IX imperator XIIX consul IIX designatus IX et Titus Imperator Caesar Augustus tribunicia potestate VII consul VI designatus VII et Domitianus Caesar Augusti filius consul V designatus VI refecerunt per Lucium Antonium Nasonem procuratorem",NA,"41.561043","32.081615","lapis"
"10","EDCS-32001296","Pontus et Bithynia","Asagi Ihsaniye / Filyos / Hisaronu / Tios",78,78,"miliaria",NA,NA,"Imp(erator) Caesar / Vespasianus / [A]ug(ustus) p(ontifex) m(aximus) [t]rib(unicia) [p(otestate)] / [XI i]mp(erator)] XI[I]X / [c]o(n)s(ul) IIX desig(natus) IX / T(itus) Imp(erator) Caesar Aug(usti) / [f(ilius)] trib(unicia) p(otestate) V[I] / co(n)s(ul) V[I desig(natus) VII] / Domitianus Cae/sar Aug(usti) f(ilius) co(n)s(ul) V / [via]m strav[e]r[u]n[t] / per L(ucium) Ant[oniu]m / Nas[on]e[m proc(uratorem)] / [eorum","Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate XI imperator XIIX consul IIX designatus IX Titus Imperator Caesar Augusti filius tribunicia potestate VI consul VI designatus VII Domitianus Caesar Augusti filius consul V viam straverunt per Lucium Antonium Nasonem procuratorem eorum",NA,"41.561043","32.081615","lapis"
