"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"1","EDCS-74800025","Sardinia","Aristanis / Oristano / Othoca",283,283,"miliaria",NA,NA,"] / omnes [3] / M(arco) Aurelio ar[o P(io) F(elici)] / Invicto [3] / MOTTIE[3] / EPIROS[3] / M(arco) Aurelio [3] / POSSET[","omnes Marco Aurelio aro Pio Felici Invicto MOTTIE EPIROS Marco Aurelio POSSET",NA,"39.9059497","8.5916112","lapis"
"2","EDCS-23900191","Sardinia","Arriora / Riola Sardo",NA,NA,"miliaria",NA,NA,"] / [milia(?)] pas(suum) CLXX/X[VIII(?)]","milia passuum CLXXXVIII",NA,"39.9941018","8.5386732","lapis"
"3","EDCS-22500780","Sardinia","Assemini",NA,NA,"miliaria",NA,NA,"]NVS [3] / [3 re]stituit [3] / [3]I[3]O[","NVS restituit I O",NA,"39.291538","9.001542","lapis"
"4","EDCS-22500781","Sardinia","Assemini",106,107,"miliaria","tituli operum","tituli sacri","VI / [Im]p(erator) Caes[ar di]vi Nerva[e f(ilius)] / [N]erva Tr[aianus] Augus[tus] / Germ(anicus) [Dac(icus)] pontif[ex m]a[x(imus)] / [tr]i[b(unicia)] pot(estate) [3 im]p(erator) VI c[o(n)s(ul) 3] / [3]VIOV[3]ve / d[u]cit ve[tusta]te corrupta[m] / [C(aio)] Ulpi[o Se]v[ero] / v(iro) e(gregio)","VI Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate imperator VI consul VIOV ve ducit vetustate corruptam Caio Ulpio Severo viro egregio",NA,"39.291538","9.001542","lapis"
"5","EDCS-22500782","Sardinia","Barbusi",70,70,"miliaria",NA,NA,"Imp(erator) Caesar / Vespasianus Aug(ustus) / pont(ifex) max(imus) tr[ib(unicia)] / [po]t(estate) co(n)s(ul) II i[mp(erator) 3] / desig(natus) III p(ater) p(atriae) / [3]tio Secundo / [pro]co(n)s(uli) / [","Imperator Caesar Vespasianus Augustus pontifex maximus tribunicia potestate consul II imperator designatus III pater patriae tio Secundo proconsuli",NA,"39.2042667","8.5080156","lapis"
"6","EDCS-22500783","Sardinia","Barbusi",NA,NA,"miliaria","tituli operum",NA,"]II[3] / [3]I Karalibus SVL[3] / [ob vetus]tatem corruptam [3] / [resti]tuer(unt) cur(ante) M[3]i[","II I Karalibus SVL ob vetustatem corruptam restituerunt curante M i",NA,"39.2042667","8.5080156","lapis"
"7","EDCS-22500784","Sardinia","Barbusi",NA,NA,"miliaria",NA,NA,"]IFIOPIC[3] / [3]IPA[3] / [3]ILO[3]SI[3] / [3]NTIVI[3] / [3]IFELM[","IFIOPIC IPA ILO SI NTIVI IFELM",NA,"39.2042667","8.5080156","lapis"
"8","EDCS-64000180","Sardinia","Barigadu",355,356,"miliaria",NA,NA,"Imp(eratori) Caes(ari) d(omino) n(ostro) / Fl(avio) Iulio Con/stantio imp(eratori) / [X]XXI Consta[n]/[tini Max(imi?) f(ilio?)","Imperatori Caesari domino nostro Flavio Iulio Constantio imperatori XXXI Constantini Maximi filio",NA,"40.034011","8.885023","lapis"
"9","EDCS-03300375","Sardinia","Belchidda / Berchidda",387,388,"miliaria",NA,NA,"[M(ilia)] p(assuum) XXIIII / salis dd(ominis) nn(ostris) Ma/gni Maximi et Fl(avi) Vic/toris [se]mper Augg(ustorum) / admin[is]trante Sal/[ustio Exsup]erio v(iro) p(erfectissimo) pr(aeside) S(ardiniae)","Milia passuum XXIIII salis ddominis nnostris Magni Maximi et Flavi Victoris semper Auggustorum administrante Salustio Exsuperio viro perfectissimo praeside Sardiniae",NA,"40.784067","9.164524","lapis"
"10","EDCS-12100663","Sardinia","Berraghe",NA,NA,"miliaria",NA,NA,"] res[ti]/tuer[unt(?)","restituerunt",NA,NA,NA,"lapis"
"11","EDCS-64000181","Sardinia","Bidda Matzraxia / Villamassargia",108,109,"miliaria","tituli operum","tituli sacri","XIIX / [Imperator C]aesa[r] / [divi N]ervae [f(ilius)] / [Nerva] T[raianus] / [Aug(ustus)] G[ermanicus] / [Dacicus p]ont(ifex) m[ax(imus)] / [trib(unicia) p]ot(estate) XIII / imp(erator) VI co(n)s(ul) V / p(ater) p(atriae) / viam quae a Sulcis [3] / [3 rest]itue[ndam curavit(?)]","XIIX Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XIII imperator VI consul V pater patriae viam quae a Sulcis restituendam curavit",NA,"39.2758994","8.6404754","lapis"
"12","EDCS-64000182","Sardinia","Bidda Matzraxia / Villamassargia",201,300,"miliaria","tituli operum",NA,"viam] / q[u]ae [ducit a Kar]/[alibus(?) S]ul[ci]s / [vetus]tate [c]orrup/tam restituit / curante P(ublio) Avidio(?) / Maxim[i]no / procuratore / suo","viam quae ducit a Karalibus Sulcis vetustate corruptam restituit curante Publio Avidio Maximino procuratore suo",NA,"39.2758994","8.6404754","lapis"
"13","EDCS-12100657","Sardinia","Biddanoa Truschedu / Villanova Truschedu",251,253,"miliaria",NA,NA,"M(ilia) p(assuum) LXXI / [Im]pp(eratoribus) dd(ominis) nn(ostris) sanctis/[simis] et piissimis / [C(aius) Viviu]s Trebonianus / [Gallu]s Pius Felix I[nv]ic/[tus A]ug(ustus) et C(aius) Vivius Afini/[us Ve]ldumianus Belusi/[an]us Pius Felix Invic/tus Aug(ustus) curante M(arco) Sep/[t]imio Heraclito proc(uratore) suo e(gregio) v(iro)","Milia passuum LXXI Impperatoribus ddominis nnostris sanctissimis et piissimis Caius Vivius Trebonianus Gallus Pius Felix Invictus Augustus et Caius Vivius Afinius Veldumianus Belusianus Pius Felix Invictus Augustus curante Marco Septimio Heraclito procuratore suo egregio viro",NA,"39.988649","8.752027","lapis"
