"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"1","EDCS-03300877","Arabia","?",112,112,"miliaria","tituli operum","tituli sacri","Imp(erator) Caesar / divi Nervae f(ilius) Nerva / Traianus [Aug(ustus) Germ(anicus)] / Dacicus [pont(ifex) max(imus)] / trib(unicia) po[t(estate) XVI imp(erator) VI] / co(n)s(ul) VI [p(ater) p(atriae) redacta in] / form[am provinciae] / Ar[abia viam novam] / a [finibus Syriae] / usq[ue] a[d mare Rubrum] / aper[uit et stravit per C(aium)] / C[laudium Severum]","Imperator Caesar divi Nervae filius Nerva Traianus Augustus Germanicus Dacicus pontifex maximus tribunicia potestate XVI imperator VI consul VI pater patriae redacta in formam provinciae Arabia viam novam a finibus Syriae us que ad mare Rubrum aperuit et stravit per Caium Claudium Severum",NA,NA,NA,"lapis"
"2","EDCS-73600305","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,"?","",NA,NA,NA,"lapis"
"3","EDCS-73600306","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,"?","",NA,NA,NA,"lapis"
"4","EDCS-73600307","Arabia","Ain el-Mikwan",NA,NA,"miliaria",NA,NA,"?","",NA,NA,NA,"lapis"
"5","EDCS-31800331","Arabia","Ajloun",NA,NA,"miliaria",NA,NA,"] I /","I","GR",32.3323294,35.7520522,"lapis"
"6","EDCS-30100051","Arabia","Ajloun",162,162,"miliaria","tituli sacri",NA,"XII / Imp(erator) Caesar / M(arcus) Aurelius Antoninus / Aug(ustus) p(ontifex) m(aximus) trib(unicia) pot(estate) XVI / co(n)s(ul) III et / Imp(erator) Caesar L(ucius) Au[r]elius / Verus Aug(ustus) t[rib(unicia) pot(estate) II c]o(n)s(ul) II / divi Anton[ini Pii filii divi] / Hadriani nepotes divi / [T]raiani Parthici / pronepotes divi N[e]rvae / [a]bnepotes refecer[unt] / per Geminium Marci[anum] / leg(atum) pr(o) pr(aetore) //","XII Imperator Caesar Marcus Aurelius Antoninus Augustus pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini Pii filii divi Hadriani nepotes divi Traiani Parthici pronepotes divi Nervae abnepotes refecerunt per Geminium Marcianum legatum pro praetore","GR",32.3323294,35.7520522,"lapis"
"7","EDCS-48001031","Arabia","Al-Qihati / El-Qihati",NA,NA,"miliaria",NA,NA,"?","",NA,32.183333,36.316667,"lapis"
"8","EDCS-48001030","Arabia","Al-Qihati / El-Qihati",NA,NA,"miliaria",NA,NA,"?","",NA,32.183333,36.316667,"lapis"
"9","EDCS-77400147","Arabia","Amman / Philadelphia",193,194,"miliaria",NA,NA,"[Imp(erator) Cae]sar / [L(ucius) Septimius S]everus / Pertin[ax] Aug(ustus) / trib(unicia) potest(ate) II / imp(erator) IV co(n)s(ul) II / per Ael(ium) Severian(um) / Maximum fec(it) / X","Imperator Caesar Lucius Septimius Severus Pertinax Augustus tribunicia potestate II imperator IV consul II per Aelium Severianum Maximum fecit X",NA,31.9515694,35.9239625,"lapis"
"10","EDCS-31700020","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,"[Imp(erator) Caes(ar) M(arcus) Aurelius] / [Seve]rus Antoninus / Felix Aug(ustus) Parthicus / max(imus) Britan(n)icus / maximus trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) III desig(natus) co(n)s(ul) / per Furium Severianu[m] / leg(atum) Aug(usti) pr(o) pr(aetore) co(n)s(ulem) desig(natum)","Imperator Caesar Marcus Aurelius Severus Antoninus Felix Augustus Parthicus maximus Britannicus maximus tribunicia potestate XVI imperator II consul III designatus consul per Furium Severianum legatum Augusti pro praetore consulem designatum",NA,31.9515694,35.9239625,"lapis"
