"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscr_type4","inscr_type5","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"1","EDCS-05200306","Sardinia","?",171,300,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Lucio H() Faus/to Lucius H() / Aristius Luc/ius H() Faustio / Lucius H() Geme[l]/lus p(atrono) v(ivi) f(ecerunt) vixit / annis XXXV","Dis Manibus Lucio H Fausto Lucius H Aristius Lucius H Faustio Lucius H Gemellus patrono vivi fecerunt vixit annis XXXV",NA,"40.120875","9.012893",NA
"2","EDCS-70800369","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"]XXI[3] / [3] et die[s","XXI et dies",NA,"40.120875","9.012893",NA
"3","EDCS-70800370","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"] sub di[e","sub die",NA,"40.120875","9.012893",NA
"4","EDCS-40900155","Sardinia","?",201,250,"tituli sepulcrales",NA,NA,NA,NA,"Titiae / Aureliae / b(ene) m(erenti) M() / Munatianus / heres","Titiae Aureliae bene merenti M Munatianus heres",NA,"40.120875","9.012893",NA
"5","EDCS-12100616","Sardinia","?",201,300,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Antonian/us vix(it) ann(os) / VIIII m(enses) X VSRC / VNNIS pater / fecit","Dis Manibus Antonianus vixit annos VIIII menses X VSRC VNNIS pater fecit",NA,"40.120875","9.012893",NA
"6","EDCS-12100617","Sardinia","?",201,300,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Aur(elius) Atimeti/anus vixit / ann(os) LV m(enses) II d(ies) X / fecerunt (h)ere/des et coniun[x] / marito b(ene) m(erenti)","Dis Manibus Aurelius Atimetianus vixit annos LV menses II dies X fecerunt heredes et coniunx marito bene merenti",NA,"40.120875","9.012893",NA
"7","EDCS-12100619","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Crescenti filio / bene merenti / qui vixit annis / XXXII mens(e) I / diebus XVI ho/ris VIIII pater eius / et mater fec(erunt)","Dis Manibus Crescenti filio bene merenti qui vixit annis XXXII mense I diebus XVI horis VIIII pater eius et mater fecerunt",NA,"40.120875","9.012893",NA
"8","EDCS-12100620","Sardinia","?",71,200,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Deuterae / vixit annis / XV Paezusa et / Hermogenes pa/rentes f(iliae) piissimae","Dis Manibus Deuterae vixit annis XV Paezusa et Hermogenes parentes filiae piissimae",NA,"40.120875","9.012893",NA
"9","EDCS-12100621","Sardinia","?",301,500,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / L(ucio) Herennio / Saturo vix(it) / an(nos) LXXXX f(ecit) / fil(ius) patri b(ene) m(erenti) / L(ucius) Herennius Faustillus","Dis Manibus Lucio Herennio Saturo vixit annos LXXXX fecit filius patri bene merenti Lucius Herennius Faustillus",NA,"40.120875","9.012893",NA
"10","EDCS-12100622","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"] filia [3] / [3]a Antigon[3] / [3 H]ilario [3]M[3] / [3] Apri[les(?) 3]","filia a Antigon Hilario M Apriles",NA,"40.120875","9.012893",NA
"11","EDCS-12100623","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Lucio H() Faust/o Lucius H() / Aristius Luc/ius H() Faustio / Lucius H() Geme[l]/lus p(atrono) v(ivo) f(ecerunt) vixit / annis XXXV","Dis Manibus Lucio H Fausto Lucius H Aristius Lucius H Faustio Lucius H Gemellus patrono vivo fecerunt vixit annis XXXV",NA,"40.120875","9.012893",NA
"12","EDCS-12100624","Sardinia","?",171,230,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Q(uintus) Lucrinius / Peptitus vix(it) / a(nnos) LXVIII fili(i) bene / merenti patr/i fecerunt","Dis Manibus Quintus Lucrinius Peptitus vixit annos LXVIII filii bene merenti patri fecerunt",NA,"40.120875","9.012893",NA
"13","EDCS-12100625","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"Malli[3] / Celeri [","Malli Celeri",NA,"40.120875","9.012893","lapis"
"14","EDCS-12100627","Sardinia","?",201,300,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) Trofim(a)e / ixit an(n)is XXIII / m(ensibus) VIII d(iebus) VI fec/runt Genus / [","Dis Manibus Trofimae ixit annis XXIII mensibus VIII diebus VI fecrunt Genus",NA,"40.120875","9.012893",NA
"15","EDCS-12100628","Sardinia","?",171,300,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / L(ucius) Valerius Victori/nus vix(it) an(nos) XIIII / fecit L(ucius) Vale/rius Creius / fratri optimo","Dis Manibus Lucius Valerius Victorinus vixit annos XIIII fecit Lucius Valerius Creius fratri optimo",NA,"40.120875","9.012893",NA
"16","EDCS-12100629","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"]ILAR[3] / Valeria [3] / alumn[a(?)","ILAR Valeria alumna",NA,"40.120875","9.012893",NA
"17","EDCS-12100630","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"D(is) [M(anibus)] / A[3]st[3] / Sp(uri) f(ilius?) Du[","Dis Manibus A st Spuri filius Du",NA,"40.120875","9.012893",NA
"18","EDCS-12100631","Sardinia","?",71,250,"tituli sepulcrales",NA,NA,NA,NA,"[D(is)] M(anibus) / [3] Flo/[3] vix(it) / [3]III / [3]o","Dis Manibus Flo vixit III o",NA,"40.120875","9.012893",NA
"19","EDCS-12100632","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"] / Mai[3] / v(ixit) a(nnos) X[3] / fec(it) m[ater(?)","Mai vixit annos X fecit mater",NA,"40.120875","9.012893",NA
